always_roll,score,success
339,50,'win'
340,50,'win'
341,100,'win'
342,500,'win'
343,100,'win'
344,0,'loss'
345,150,'win'
346,600,'win'
347,1100,'win'
348,200,'win'
349,500,'win'
350,100,'win'
351,1000,'win'
352,1050,'win'
353,650,'win'
354,600,'win'
355,600,'win'
356,350,'win'
357,250,'win'
358,1000,'win'
359,100,'win'
360,600,'win'
361,150,'win'
362,500,'win'
363,700,'win'
364,750,'win'
365,50,'win'
366,400,'win'
367,150,'win'
368,600,'win'
369,50,'win'
370,500,'win'
371,200,'win'
372,200,'win'
373,700,'win'
374,0,'loss'
375,300,'win'
376,250,'win'
377,250,'win'
378,200,'win'
379,50,'win'
380,200,'win'
381,250,'win'
382,1000,'win'
383,100,'win'
384,750,'win'
385,150,'win'
386,400,'win'
387,50,'win'
388,200,'win'
389,500,'win'
390,1000,'win'
391,300,'win'
392,100,'win'
393,50,'win'
394,50,'win'
395,100,'win'
396,250,'win'
397,100,'win'
398,1050,'win'
399,150,'win'
400,1200,'win'
401,100,'win'
402,500,'win'
403,500,'win'
404,400,'win'
405,600,'win'
406,100,'win'
407,500,'win'
408,250,'win'
409,300,'win'
410,100,'win'
411,100,'win'
412,150,'win'
413,1100,'win'
414,100,'win'
415,150,'win'
416,50,'win'
417,200,'win'
418,250,'win'
419,100,'win'
420,200,'win'
421,150,'win'
422,550,'win'
423,100,'win'
424,500,'win'
425,300,'win'
426,250,'win'
427,300,'win'
428,250,'win'
429,200,'win'
430,100,'win'
431,500,'win'
432,250,'win'
433,1000,'win'
434,500,'win'
435,600,'win'
436,100,'win'
437,100,'win'
438,150,'win'
439,600,'win'
440,200,'win'
441,50,'win'
442,1000,'win'
443,500,'win'
444,200,'win'
445,250,'win'
446,200,'win'
447,150,'win'
448,150,'win'
449,400,'win'
450,100,'win'
451,200,'win'
452,100,'win'
453,2050,'win'
454,100,'win'
455,100,'win'
456,150,'win'
457,250,'win'
458,200,'win'
459,100,'win'
460,500,'win'
461,200,'win'
462,500,'win'
463,500,'win'
464,250,'win'
465,200,'win'
466,600,'win'
467,700,'win'
468,300,'win'
469,150,'win'
470,0,'loss'
471,100,'win'
472,200,'win'
473,1000,'win'
474,100,'win'
475,150,'win'
476,600,'win'
477,200,'win'
478,100,'win'
479,150,'win'
480,650,'win'
481,50,'win'
482,600,'win'
483,100,'win'
484,500,'win'
485,100,'win'
486,100,'win'
487,150,'win'
488,150,'win'
489,600,'win'
490,1500,'win'
491,1000,'win'
492,200,'win'
493,350,'win'
494,150,'win'
495,200,'win'
496,600,'win'
497,250,'win'
498,200,'win'
499,50,'win'
500,50,'win'
